Callsign,Frequency,,,,,,,,,,
W2NAF,15 MHz,,,,,,,,,,
Hour (UTC),Date,Date,Date,Date,Date,Date,Date,,,,
Date,5/8/2024,5/9/2024,5/14/2024,5/20/2024,5/25/2024,5/28/2024,5/29/2024,,,,
Hour (UTC),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),AVG Doppler (Hz),STDEV,AVG - STDEV,AVG + STDEV
2.43333,-0.067319997,-0.355560005,-0.286170006,-0.063270003,-0.52579999,-0.249050006,-0.035799999,-0.226138572,0.181958724,-0.408097296,-0.044179848
2.45,-0.084789999,-0.330049992,-0.32032001,-0.05937,-0.568650007,-0.251239985,-0.158250004,-0.253238571,0.175533024,-0.428771595,-0.077705547
2.46667,-0.075759999,-0.315259993,-0.280680001,-0.071379997,-0.565699995,-0.155110002,-0.224460006,-0.241192856,0.171388808,-0.412581664,-0.069804048
2.48333,-0.134829998,-0.092809997,-0.216169998,-0.022089999,-0.625020027,-0.137290001,-0.21153,-0.205677146,0.196694417,-0.402371563,-0.008982729
2.5,-0.145830005,0.134739995,-0.04789,-0.00473,-0.570469975,-0.226879999,-0.166610003,-0.146809998,0.221936279,-0.368746278,0.075126281
2.51667,-0.092009999,0.036359999,-0.02203,-0.103990003,-0.48506999,-0.184599996,-0.036010001,-0.126764284,0.172853319,-0.299617603,0.046089035
2.53333,-0.108130001,-0.01667,-0.00728,-0.00261,-0.375759989,-0.133180007,-0.00163,-0.09218,0.136311451,-0.228491451,0.044131452
2.55,-0.215709999,-0.1426,0.022919999,-0.044020001,0.026459999,-0.267729998,-0.022600001,-0.091897143,0.11768836,-0.209585502,0.025791217
2.56667,-0.118390001,-0.352999985,-0.05099,-0.108259998,0.301670015,-0.234239995,0.086939998,-0.068038567,0.213686842,-0.281725409,0.145648276
2.58333,-0.092560001,-0.350840002,-0.098870002,-0.209010005,0.251419991,-0.282489985,0.055799998,-0.103792858,0.206491349,-0.310284207,0.102698491
2.6,-0.127700001,-0.398090005,-0.167879999,-0.205249995,-0.016240001,-0.297639996,0.01345,-0.171335714,0.146422287,-0.317758,-0.024913427
2.61667,-0.134039998,-0.387870014,-0.043060001,-0.159199998,0.185839996,-0.168160006,-0.00609,-0.101797146,0.176030982,-0.277828128,0.074233836
2.63333,-0.1303,-0.602419972,-0.066239998,-0.191499993,0.021640001,-0.167989999,0.03892,-0.156841423,0.215621957,-0.37246338,0.058780534
2.65,-0.119309999,-0.715659976,-0.078809999,-0.074340001,-0.134029999,-0.257149994,0.044709999,-0.19065571,0.248255069,-0.438910779,0.057599359
2.66667,-0.108670004,-0.891300023,-0.065449998,-0.063819997,0.01774,-0.360870004,-0.217889994,-0.241465717,0.312105661,-0.553571379,0.070639944
2.68333,-0.095360003,-0.82119,-0.115910001,-0.032570001,0.113849998,-0.518570006,-0.328209996,-0.25685143,0.32293765,-0.57978908,0.06608622
